question,user query
What is the sales of phone in 2020,How many phones got sold in 2020?
What is the sales of phone in 2020,What's the count of phone sales for 2020?
What is the sales of phone across months in 2020,What are the 2020 monthly phone sales?
What is the sales of phone across months in 2020,Phone sales in 2020: monthly data?
What is the sales of phone across months in 2020,Monthly phone sales for 2020?
What is the sales of phone across months in 2020,2020 phone sales by month?
What is the sales of phone across months in 2020,Monthly breakdown of 2020 phone sales?
What is the sales of phone across months in 2020,Phone sales across months in '20?
What is the sales of phone across months in 2020,Phone sales per month in 2020?
What is the sales of phone across months in 2020,2020's monthly phone sales figures?
What is the sales of phone across months in 2020,Monthly phone sales data for 2020?
What is the sales of phone across months in 2020,Phone sales: monthly stats for 2020?
What is the sales by sub category in 2020 vs 2021,What are the 2020 vs 2021 sales figures for each subcategory?
What is the sales by sub category in 2020 vs 2021,Compare subcategory sales in 2020 and 2021.
What is the sales by sub category in 2020 vs 2021,How do 2020 and 2021 subcategory sales differ?
What is the sales by sub category in 2020 vs 2021,Subcategory sales comparison: 2020 vs 2021?
What is the sales by sub category in 2020 vs 2021,2020 and 2021 sales breakdown by subcategory?
What is the sales by sub category in 2020 vs 2021,Sales by subcategory: 2020 vs 2021 figures?
What is the sales by sub category in 2020 vs 2021,Analyze subcategory sales in 2020 and 2021.
What is the sales by sub category in 2020 vs 2021,What's the difference in subcategory sales between 2020 and 2021?
What is the sales by sub category in 2020 vs 2021,How have subcategory sales changed from 2020 to 2021?
What is the sales by sub category in 2020 vs 2021,Subcategory sales data for 2020 and 2021 comparison?
What is the sales in 2020 vs 2021,Sales comparison: 2020 vs 2021?
What is the sales in 2020 vs 2021,Compare 2020 and 2021 sales.
What is the sales in 2020 vs 2021,2020 sales versus 2021 sales?
What is the sales in 2020 vs 2021,How do 2020 sales compare to 2021?
What is the sales in 2020 vs 2021,Sales difference between 2020 and 2021?
What is the sales in 2020 vs 2021,Contrast sales in 2020 and 2021.
What is the sales in 2020 vs 2021,2020 vs 2021: What are the sales figures?
What is the sales in 2020 vs 2021,Sales in '20 compared to '21?
What is the sales in 2020 vs 2021,What are the sales for 2020 and 2021?
What is the sales in 2020 vs 2021,2020 and 2021 sales comparison?
What is the sales and discount percentage in 2020,What are the 2020 sales and discount percentages?
What is the sales and discount percentage in 2020,Sales and discount % in 2020?
What is the sales and discount percentage in 2020,2020's sales and discount percentage?
What is the sales and discount percentage in 2020,Percentage of sales and discounts in 2020?
What is the sales and discount percentage in 2020,"In 2020, what's the sales and discount %?"
What is the sales and discount percentage in 2020,What's the % of sales and discounts in 2020?
What is the sales and discount percentage in 2020,Sales and discount figures for 2020?
What is the sales and discount percentage in 2020,2020 sales and discount rates?
What is the sales and discount percentage in 2020,What are the sales and discount rates in '20?
What is the sales and discount percentage in 2020,Sales and discount stats for 2020?
What is the sales and discount percentage by sub category in 2020,What are the 2020 sales and discount percentages for each subcategory?
What is the sales and discount percentage by sub category in 2020,"In 2020, what were the sales and discount percentages by subcategory?"
What is the sales and discount percentage by sub category in 2020,Can you provide the sales and discount percentages for subcategories in 2020?
What is the sales and discount percentage by sub category in 2020,What's the breakdown of sales and discount percentages by subcategory for 2020?
What is the sales and discount percentage by sub category in 2020,"In 2020, how did sales and discount percentages vary by subcategory?"
What is the sales and discount percentage by sub category in 2020,What were the subcategory-wise sales and discount percentages in 2020?
What is the sales and discount percentage by sub category in 2020,Provide the 2020 sales and discount percentages for each subcategory.
What is the sales and discount percentage by sub category in 2020,How did sales and discount percentages differ by subcategory in 2020?
What is the sales and discount percentage by sub category in 2020,What were the sales and discount percentages for subcategories during 2020?
What is the sales and discount percentage by sub category in 2020,"For 2020, what were the sales and discount percentages across subcategories?"
What is the sales and discount percentage by sub category and country in 2020,What are the 2020 sales and discount percentages for each subcategory and country?
What is the sales and discount percentage by sub category and country in 2020,"In 2020, what were the sales and discount percentages by subcategory and country?"
What is the sales and discount percentage by sub category and country in 2020,Can you provide the sales and discount percentages for subcategories and countries in 2020?
What is the sales and discount percentage by sub category and country in 2020,What's the breakdown of sales and discount percentages by subcategory and country for 2020?
What is the sales and discount percentage by sub category and country in 2020,"In 2020, how did sales and discount percentages vary by subcategory and country?"
What is the sales and discount percentage by sub category and country in 2020,What were the subcategory and country-wise sales and discount percentages in 2020?
What is the sales and discount percentage by sub category and country in 2020,Provide the 2020 data on sales and discount percentages for each subcategory and country.
What is the sales and discount percentage by sub category and country in 2020,How did sales and discount percentages differ by subcategory and country during 2020?
What is the sales and discount percentage by sub category and country in 2020,What are the sales and discount percentages for subcategories and countries in the year 2020?
What is the sales and discount percentage by sub category and country in 2020,"For 2020, what are the sales and discount percentages across subcategories and countries?"
What is the sales and discount percentage in 2020 vs 2021,What are the 2020 vs 2021 sales and discount percentages?
What is the sales and discount percentage in 2020 vs 2021,Sales and discount percentages in 2020 compared to 2021?
What is the sales and discount percentage in 2020 vs 2021,2020 vs 2021: sales and discount percentage?
What is the sales and discount percentage in 2020 vs 2021,How do sales and discount percentages differ between 2020 and 2021?
What is the sales and discount percentage in 2020 vs 2021,Compare 2020 and 2021 sales and discount percentages.
What is the sales and discount percentage in 2020 vs 2021,2020 and 2021: What's the difference in sales and discount percentages?
What is the sales and discount percentage in 2020 vs 2021,Sales and discount % in '20 vs '21?
What is the sales and discount percentage in 2020 vs 2021,What's the change in sales and discount percentages from 2020 to 2021?
What is the sales and discount percentage in 2020 vs 2021,Difference in sales and discount percentages: 2020-2021?
What is the sales and discount percentage in 2020 vs 2021,2020-2021 sales and discount percentage comparison?
What is the sales and discount percentage by sub category in 2020 vs 2021,What are the 2020 vs 2021 sales and discount percentages for each subcategory?
What is the sales and discount percentage by sub category in 2020 vs 2021,"In 2020 and 2021, what were the sales and discount percentages by subcategory?"
What is the sales and discount percentage by sub category in 2020 vs 2021,Compare the sales and discount percentages of subcategories between 2020 and 2021.
What is the sales and discount percentage by sub category in 2020 vs 2021,How do the sales and discount percentages of subcategories differ from 2020 to 2021?
What is the sales and discount percentage by sub category in 2020 vs 2021,What's the difference in sales and discount percentages for subcategories between 2020 and 2021?
What is the sales and discount percentage by sub category in 2020 vs 2021,"For 2020 and 2021, what are the sales and discount percentages in each subcategory?"
What is the sales and discount percentage by sub category in 2020 vs 2021,How have the sales and discount percentages by subcategory changed from 2020 to 2021?
What is the sales and discount percentage by sub category in 2020 vs 2021,What were the sales and discount percentages for subcategories in both 2020 and 2021?
What is the sales and discount percentage by sub category in 2020 vs 2021,"In 2020 vs 2021, what are the sales and discount percentages for each subcategory?"
What is the sales and discount percentage by sub category in 2020 vs 2021,What are the sales and discount percentages by subcategory for 2020 and 2021?
What is the sales and discount percentage by sub category and country in 2020 vs 2021,What are the 2020 vs 2021 sales and discount percentages for each subcategory and country?
What is the sales and discount percentage by sub category and country in 2020 vs 2021,"In 2020 and 2021, what were the sales and discount percentages by subcategory and country?"
What is the sales and discount percentage by sub category and country in 2020 vs 2021,How do sales and discount percentages compare by subcategory and country between 2020 and 2021?
What is the sales and discount percentage by sub category and country in 2020 vs 2021,What's the difference in sales and discount percentages by subcategory and country from 2020 to 2021?
What is the sales and discount percentage by sub category and country in 2020 vs 2021,Can you provide the sales and discount percentages for subcategories and countries in 2020 and 2021?
What is the sales and discount percentage by sub category and country in 2020 vs 2021,What were the sales and discount percentages in 2020 and 2021 for each country and subcategory?
What is the sales and discount percentage by sub category and country in 2020 vs 2021,Compare the sales and discount percentages by subcategory and country for 2020 and 2021.
What is the sales and discount percentage by sub category and country in 2020 vs 2021,Show the sales and discount percentages by subcategory and country in both 2020 and 2021.
What is the sales and discount percentage by sub category and country in 2020 vs 2021,What are the sales and discount percentages for subcategories and countries in '20 vs '21?
What is the sales and discount percentage by sub category and country in 2020 vs 2021,Provide the sales and discount percentages by subcategory and country for 2020-2021.
What are the sub category with sales is more than 10k,Which subcategories have sales exceeding 10k?
What are the sub category with sales is more than 10k,"Identify subcategories with over 10,000 in sales."
What are the sub category with sales is more than 10k,List subcategories where sales surpass 10k.
What are the sub category with sales is more than 10k,Show subcategories with sales greater than 10k.
What are the sub category with sales is more than 10k,"In which subcategories do sales exceed 10,000?"
What are the sub category with sales is more than 10k,Find subcategories with sales above 10k.
What are the sub category with sales is more than 10k,What are the subcategories with 10k+ sales?
What are the sub category with sales is more than 10k,"Which subcategories have 10,000 or more in sales?"
What are the sub category with sales is more than 10k,Name subcategories with sales over 10k.
What are the sub category with sales is more than 10k,What subcategories have sales of more than 10k?
What is the sales of sub category except chairs,What are the sales figures for subcategories excluding chairs?
What is the sales of sub category except chairs,"Excluding chairs, what are the sales of other subcategories?"
What is the sales of sub category except chairs,"What's the sales data for subcategories, not counting chairs?"
What is the sales of sub category except chairs,What are the non-chair subcategory sales?
What is the sales of sub category except chairs,"Sales of which subcategories, besides chairs, are there?"
What is the sales of sub category except chairs,What are the sales numbers for all subcategories except chairs?
What is the sales of sub category except chairs,"Excluding chair sales, what are the figures for other subcategories?"
What is the sales of sub category except chairs,What are the sales stats for subcategories without chairs?
What is the sales of sub category except chairs,"What's the sales performance of subcategories, chairs excluded?"
What is the sales of sub category except chairs,"Sales for which subcategories, other than chairs, are available?"
What is the sales across months,What are the monthly sales figures?
What is the sales across months,Can you provide the sales data for each month?
What is the sales across months,What's the sales breakdown by month?
What is the sales across months,How much was sold in each month?
What is the sales across months,What are the sales totals for every month?
What is the sales across months,Monthly sales: what are the numbers?
What is the sales across months,Sales performance across months: what is it?
What is the sales across months,What is the month-wise sales data?
What is the sales across months,How do sales compare across months?
What is the sales across months,What are the sales numbers for all months?
What is the sales by sub category across months,What are the monthly sales figures for each subcategory?
What is the sales by sub category across months,How much did each subcategory sell per month?
What is the sales by sub category across months,Monthly sales breakdown by subcategory?
What is the sales by sub category across months,Sales of subcategories for each month?
What is the sales by sub category across months,Subcategory-wise monthly sales data?
What is the sales by sub category across months,Monthly sales distribution across subcategories?
What is the sales by sub category across months,What are the sales figures for subcategories month-wise?
What is the sales by sub category across months,Subcategory sales for every month?
What is the sales by sub category across months,Monthly sales performance of each subcategory?
What is the sales by sub category across months,Sales by subcategory: monthly analysis?
What is the sales of phone across months,What are the monthly phone sales figures?
What is the sales of phone across months,Phone sales across months: what are the numbers?
What is the sales of phone across months,Monthly breakdown of phone sales?
What is the sales of phone across months,How many phones are sold each month?
What is the sales of phone across months,What's the phone sales distribution by month?
What is the sales of phone across months,Monthly phone sales data?
What is the sales of phone across months,Phone sales: monthly statistics?
What is the sales of phone across months,Total phones sold per month?
What is the sales of phone across months,Monthly sales figures for phones?
What is the sales of phone across months,What are the phone sales for each month?
What is the sales and discount percentage across months,What are the monthly sales and discount percentages?
What is the sales and discount percentage across months,Sales and discount percentages for each month?
What is the sales and discount percentage across months,Monthly breakdown of sales and discount percentages?
What is the sales and discount percentage across months,"Across months, what are the sales and discount percentages?"
What is the sales and discount percentage across months,What's the percentage of sales and discounts per month?
What is the sales and discount percentage across months,Month-wise sales and discount percentages?
What is the sales and discount percentage across months,Sales and discounts percentages across all months?
What is the sales and discount percentage across months,Monthly sales and discount percentage figures?
What is the sales and discount percentage across months,What are the sales and discount percentages month by month?
What is the sales and discount percentage across months,Percentage of sales and discounts for every month?
What is the sales and discount percentage by sub category across months,What are the monthly sales and discount percentages for each subcategory?
What is the sales and discount percentage by sub category across months,Monthly sales and discount percentages by subcategory?
What is the sales and discount percentage by sub category across months,Subcategory-wise sales and discount percentages across months?
What is the sales and discount percentage by sub category across months,Sales and discount percentages for subcategories on a monthly basis?
What is the sales and discount percentage by sub category across months,Monthly breakdown of sales and discount percentages by subcategory?
What is the sales and discount percentage by sub category across months,What are the sales and discount percentages for subcategories per month?
What is the sales and discount percentage by sub category across months,Subcategory sales and discount percentages for each month?
What is the sales and discount percentage by sub category across months,Monthly sales and discount percentages in each subcategory?
What is the sales and discount percentage by sub category across months,Sales and discount percentages by subcategory for every month?
What is the sales and discount percentage by sub category across months,What are the monthly subcategory sales and discount percentages?
What is the sales and discount percentage by sub category and country across months,What are the monthly sales and discount percentages for each subcategory and country?
What is the sales and discount percentage by sub category and country across months,"By subcategory and country, what are the sales and discount percentages across months?"
What is the sales and discount percentage by sub category and country across months,Monthly sales and discount percentages: breakdown by subcategory and country?
What is the sales and discount percentage by sub category and country across months,"Sales and discount percentages by subcategory and country, month-wise?"
What is the sales and discount percentage by sub category and country across months,"For each month, what are the sales and discount percentages by subcategory and country?"
What is the sales and discount percentage by sub category and country across months,"What are the sales and discount percentages per month, organized by subcategory and country?"
What is the sales and discount percentage by sub category and country across months,"Month by month, what are the sales and discount percentages for each subcategory and country?"
What is the sales and discount percentage by sub category and country across months,What are the sales and discount percentages for subcategories and countries on a monthly basis?
What is the sales and discount percentage by sub category and country across months,"Across months, what are the sales and discount percentages for each country and subcategory?"
What is the sales and discount percentage by sub category and country across months,Monthly breakdown of sales and discount percentages: subcategory and country-wise?
What are the sub category with sales more than 10k across months,Which subcategories have over 10k in sales monthly?
What are the sub category with sales more than 10k across months,"Identify subcategories with monthly sales exceeding 10,000."
What are the sub category with sales more than 10k across months,List subcategories with 10k+ sales across all months.
What are the sub category with sales more than 10k across months,"What are the subcategories with monthly sales of more than $10,000?"
What are the sub category with sales more than 10k across months,Which subcategories consistently sell over 10k per month?
What are the sub category with sales more than 10k across months,Name the subcategories with sales surpassing 10k each month.
What are the sub category with sales more than 10k across months,What subcategories have monthly sales greater than 10k?
What are the sub category with sales more than 10k across months,Which subcategories achieve 10k+ in sales month-over-month?
What are the sub category with sales more than 10k across months,What are the subcategories with sales above 10k every month?
What are the sub category with sales more than 10k across months,Indicate subcategories with sales over 10k across all months.
What is the sales of sub category except chairs across months,"What are the monthly sales for subcategories, excluding chairs?"
What is the sales of sub category except chairs across months,"Excluding chairs, what are the subcategory sales across months?"
What is the sales of sub category except chairs across months,"Monthly sales of subcategories, not including chairs?"
What is the sales of sub category except chairs across months,What are the non-chair subcategory sales per month?
What is the sales of sub category except chairs across months,"Subcategory sales by month, with chairs excluded?"
What is the sales of sub category except chairs across months,"What are the monthly sales figures for subcategories, except chairs?"
What is the sales of sub category except chairs across months,"Excluding chairs, what are the monthly sales for each subcategory?"
What is the sales of sub category except chairs across months,"What are the sales for subcategories, not counting chairs, across months?"
What is the sales of sub category except chairs across months,"Monthly sales for all subcategories, except chairs?"
What is the sales of sub category except chairs across months,"What are the sales of subcategories, minus chairs, on a monthly basis?"
"What is the sales , discount percentage and discount across months","What are the monthly sales, discount percentage, and discount amounts?"
"What is the sales , discount percentage and discount across months","Provide the sales, discount %, and discount values for each month."
"What is the sales , discount percentage and discount across months","For each month, what are the sales figures, discount percentages, and discounts?"
"What is the sales , discount percentage and discount across months","Monthly breakdown of sales, discount percentages, and discount amounts?"
"What is the sales , discount percentage and discount across months","Can you show the sales, discount %, and discounts on a monthly basis?"
"What is the sales , discount percentage and discount across months","What's the monthly data for sales, discount percentages, and discounts?"
"What is the sales , discount percentage and discount across months","Sales, discount percentages, and discount values across months?"
"What is the sales , discount percentage and discount across months","Month-wise sales, discount %, and discount figures?"
"What is the sales , discount percentage and discount across months","What are the sales, discount percentages, and discounts for each month?"
"What is the sales , discount percentage and discount across months","Monthly sales, discount percentages, and discount amounts?"
"What is the sales , discount percentage and discount by sub category across months","What are the monthly sales, discount percentage, and discount for each subcategory?"
"What is the sales , discount percentage and discount by sub category across months","For each subcategory, what are the sales, discount percentage, and discount per month?"
"What is the sales , discount percentage and discount by sub category across months","Monthly breakdown of sales, discount percentage, and discount by subcategory?"
"What is the sales , discount percentage and discount by sub category across months","Can you provide the sales, discount percentage, and discount for subcategories on a monthly basis?"
"What is the sales , discount percentage and discount by sub category across months","What are the sales, discount percentage, and discount figures for subcategories across months?"
"What is the sales , discount percentage and discount by sub category across months","How do sales, discount percentage, and discount vary by subcategory and month?"
"What is the sales , discount percentage and discount by sub category across months","What are the monthly figures for sales, discount percentage, and discount in each subcategory?"
"What is the sales , discount percentage and discount by sub category across months","Please show the sales, discount percentage, and discount for subcategories, broken down by month."
"What is the sales , discount percentage and discount by sub category across months","What are the sales, discount percentage, and discount for subcategories, month by month?"
"What is the sales , discount percentage and discount by sub category across months","Provide the sales, discount percentage, and discount data for subcategories across all months."
"What is the sales , discount percentage and discount in 2020","What were the 2020 sales, discount %, and discount amount?"
"What is the sales , discount percentage and discount in 2020","In 2020, what were the sales figures, discount percentage, and discount value?"
"What is the sales , discount percentage and discount in 2020","Can you provide the sales, discount rate, and discount for 2020?"
"What is the sales , discount percentage and discount in 2020","What are the sales, discount percentage, and discount for the year 2020?"
"What is the sales , discount percentage and discount in 2020","In the year '20, what were the sales, discount %, and discount?"
"What is the sales , discount percentage and discount in 2020","For 2020, what were the sales, discount percentage, and discount?"
"What is the sales , discount percentage and discount in 2020","What was the sales, discount %, and discount in the year 2020?"
"What is the sales , discount percentage and discount in 2020","Provide the 2020 sales, discount percentage, and discount."
"What is the sales , discount percentage and discount in 2020","What are the sales, discount %, and discount for 2020?"
"What is the sales , discount percentage and discount in 2020","In '20, what were the sales, discount rate, and discount?"
"What is the sales , discount percentage and discount of sub category in 2020","What are the 2020 sales, discount %, and discount for each subcategory?"
"What is the sales , discount percentage and discount of sub category in 2020","In 2020, what were the sales, discount percentage, and discount in subcategories?"
"What is the sales , discount percentage and discount of sub category in 2020","For 2020, what's the sales, discount %, and discount in each subcategory?"
"What is the sales , discount percentage and discount of sub category in 2020","Can you provide the sales, discount percentage, and discount for subcategories in 2020?"
"What is the sales , discount percentage and discount of sub category in 2020","What were the subcategory sales, discount %, and discount in 2020?"
"What is the sales , discount percentage and discount of sub category in 2020","In 2020, what was the sales, discount percentage, and discount for subcategories?"
"What is the sales , discount percentage and discount of sub category in 2020","What are the sales, discount %, and discount figures for 2020 subcategories?"
"What is the sales , discount percentage and discount of sub category in 2020","For subcategories, what were the 2020 sales, discount percentage, and discount?"
"What is the sales , discount percentage and discount of sub category in 2020","What was the sales, discount %, and discount breakdown for subcategories in 2020?"
"What is the sales , discount percentage and discount of sub category in 2020","In 2020, what were the subcategory sales figures, discount percentages, and discounts?"
Which sub category have sales more than 10k,Which subcategory has over 10k in sales?
Which sub category have sales more than 10k,"In which subcategory are sales exceeding 10,000?"
Which sub category have sales more than 10k,Identify the subcategory with sales greater than 10k.
Which sub category have sales more than 10k,"Which subcategory has sales surpassing 10,000?"
Which sub category have sales more than 10k,In which subcategory do sales cross the 10k mark?
Which sub category have sales more than 10k,Which subcategory boasts sales of more than 10k?
Which sub category have sales more than 10k,"Which subcategory's sales are above 10,000?"
Which sub category have sales more than 10k,In which subcategory have sales topped 10k?
Which sub category have sales more than 10k,Which subcategory has achieved over 10k in sales?
Which sub category have sales more than 10k,"Which subcategory has sales of 10,000+?"
Which sub category have sales more than 10k in 2020,"In 2020, which subcategory had over 10k sales?"
Which sub category have sales more than 10k in 2020,"Which 2020 subcategory exceeded 10,000 sales?"
Which sub category have sales more than 10k in 2020,Identify the subcategory with 10k+ sales in 2020.
Which sub category have sales more than 10k in 2020,Which subcategory surpassed 10k sales in 2020?
Which sub category have sales more than 10k in 2020,"In 2020, which subcategory had sales greater than 10,000?"
Which sub category have sales more than 10k in 2020,Which subcategory recorded more than 10k sales in 2020?
Which sub category have sales more than 10k in 2020,"Which 2020 subcategory had 10,000+ sales?"
Which sub category have sales more than 10k in 2020,"In 2020, which subcategory had sales above 10k?"
Which sub category have sales more than 10k in 2020,Which subcategory achieved over 10k sales in 2020?
Which sub category have sales more than 10k in 2020,Which subcategory in 2020 had sales beyond 10k?
What is the sales of phone and paper in 2020,What are the 2020 sales figures for phones and paper?
What is the sales of phone and paper in 2020,"In 2020, what were the sales of phones and paper?"
What is the sales of phone and paper in 2020,How much phone and paper sales occurred in 2020?
What is the sales of phone and paper in 2020,What's the sales data for phones and paper in 2020?
What is the sales of phone and paper in 2020,"In 2020, what was the sales volume for phones and paper?"
What is the sales of phone and paper in 2020,What were the phone and paper sales numbers in 2020?
What is the sales of phone and paper in 2020,How many phones and paper units were sold in 2020?
What is the sales of phone and paper in 2020,What was the sales amount for phones and paper in '20?
What is the sales of phone and paper in 2020,What are the sales stats for phones and paper in 2020?
What is the sales of phone and paper in 2020,"In '20, what were the phone and paper sales figures?"
What is the sales of phone and paper across months,What are the monthly sales figures for phones and paper?
What is the sales of phone and paper across months,How many phones and paper units were sold each month?
What is the sales of phone and paper across months,"Monthly sales data for phone and paper, please."
What is the sales of phone and paper across months,Can I see the phone and paper sales across all months?
What is the sales of phone and paper across months,What's the month-wise sales breakdown for phones and paper?
What is the sales of phone and paper across months,Provide the sales numbers for phones and paper per month.
What is the sales of phone and paper across months,How do phone and paper sales compare across months?
What is the sales of phone and paper across months,Monthly sales comparison for phone and paper?
What is the sales of phone and paper across months,Show me the sales of phones and paper for each month.
What is the sales of phone and paper across months,What are the phone and paper sales totals by month?
What is the sales of phone and paper across months in 2020,What are the 2020 monthly sales figures for phones and paper?
What is the sales of phone and paper across months in 2020,"In 2020, what were the monthly sales of phones and paper?"
What is the sales of phone and paper across months in 2020,How many phones and paper were sold each month in 2020?
What is the sales of phone and paper across months in 2020,What's the 2020 month-wise sales data for phones and paper?
What is the sales of phone and paper across months in 2020,Provide the 2020 monthly sales breakdown for phones and paper.
What is the sales of phone and paper across months in 2020,What were the phone and paper sales for each month in 2020?
What is the sales of phone and paper across months in 2020,"In 2020, how did phone and paper sales perform across months?"
What is the sales of phone and paper across months in 2020,Show the monthly sales of phones and paper in 2020.
What is the sales of phone and paper across months in 2020,What are the sales numbers for phones and paper per month in 2020?
What is the sales of phone and paper across months in 2020,Monthly sales of phones and paper in 2020?
List of sub category,Subcategory list?
List of sub category,Can you provide a list of subcategories?
List of sub category,What are the subcategories?
List of sub category,Show me the subcategory list.
List of sub category,Enumerate the subcategories.
List of sub category,Please share the list of subcategories.
List of sub category,What's in the subcategory list?
List of sub category,Name the subcategories.
List of sub category,What subcategories are there?
List of sub category,Provide the subcategories list.
List of sub category in 2020,What are the subcategories in 2020?
List of sub category in 2020,Name the 2020 subcategories.
List of sub category in 2020,Identify 2020's subcategories.
List of sub category in 2020,Enumerate subcategories from 2020.
List of sub category in 2020,Mention subcategories in 2020.
List of sub category in 2020,Specify 2020 subcategories.
List of sub category in 2020,Detail subcategories for 2020.
List of sub category in 2020,Provide 2020's subcategory list.
List of sub category in 2020,State the subcategories of 2020.
List of sub category in 2020,Describe subcategories during 2020.
List of sub category and country,Subcategories and countries list?
List of sub category and country,Show subcategory and country list.
List of sub category and country,"Display list: subcategory, country."
List of sub category and country,"Subcategory & country list, please."
List of sub category and country,"Provide list: subcategory, country."
List of sub category and country,Need list of subcategory & country.
List of sub category and country,Can I see subcategory-country list?
List of sub category and country,List subcategories with countries.
List of sub category and country,Show me subcategory-country list.
List of sub category and country,"Subcategory, country list needed."
List of sub category and country in 2020,Subcategories and countries in 2020: what's the list?
List of sub category and country in 2020,What are the subcategories and countries for 2020?
List of sub category and country in 2020,Show the 2020 list of subcategories and countries.
List of sub category and country in 2020,Provide the subcategory and country list for 2020.
List of sub category and country in 2020,Can you list the subcategories and countries in 2020?
List of sub category and country in 2020,What's the 2020 breakdown of subcategories and countries?
List of sub category and country in 2020,Enumerate the subcategories and countries in 2020.
List of sub category and country in 2020,Detail the subcategories and countries for the year 2020.
List of sub category and country in 2020,What were the subcategories and countries in '20?
List of sub category and country in 2020,2020's subcategories and countries: what were they?
List of sub category having sales more than 10k,Which subcategories have sales exceeding 10k?
List of sub category having sales more than 10k,"Subcategories with over 10,000 in sales?"
List of sub category having sales more than 10k,Identify subcategories with sales > 10k.
List of sub category having sales more than 10k,Show subcategories where sales surpass 10k.
List of sub category having sales more than 10k,Sales above 10k: which subcategories?
List of sub category having sales more than 10k,10k+ sales: list subcategories.
List of sub category having sales more than 10k,Subcategories with sales greater than 10k?
List of sub category having sales more than 10k,"Name subcategories with 10,000+ sales."
List of sub category having sales more than 10k,Which subcategories have 10k+ sales?
List of sub category having sales more than 10k,Subcategories with sales over 10k?
List of sub category having sales more than 10k in 2020,Which subcategories had over 10k sales in 2020?
List of sub category having sales more than 10k in 2020,"Subcategories with 2020 sales exceeding 10,000?"
List of sub category having sales more than 10k in 2020,Identify subcategories with 10k+ sales in 2020.
List of sub category having sales more than 10k in 2020,2020 subcategories with sales over 10k?
List of sub category having sales more than 10k in 2020,"In 2020, which subcategories surpassed 10k sales?"
List of sub category having sales more than 10k in 2020,10k+ sales subcategories in 2020?
List of sub category having sales more than 10k in 2020,"Subcategories with more than 10,000 sales in 2020?"
List of sub category having sales more than 10k in 2020,2020's subcategories with 10k or more sales?
List of sub category having sales more than 10k in 2020,"Which 2020 subcategories had 10,000+ sales?"
List of sub category having sales more than 10k in 2020,Over 10k sales: 2020 subcategories?
List of sub category and country having sales more than 10k,Which subcategories and countries have sales exceeding 10k?
List of sub category and country having sales more than 10k,"Identify subcategories and countries with over 10,000 in sales."
